triplet_id	section_index	section_triplet_index	merge_pattern	en_text	fr_text	zh_text	en_onset_sec	en_offset_sec	fr_onset_sec	fr_offset_sec	zh_onset_sec	zh_offset_sec	en_first_sentence_idx	en_last_sentence_idx	fr_first_sentence_idx	fr_last_sentence_idx	zh_first_sentence_idx	zh_last_sentence_idx
1	1	1	1-1-1	once when i was six years old i saw a magnificent picture in a book about the primeval forest called real life stories	lorsque j' avais six ans j' ai vu une fois une magnifique image dans un livre sur la forêt vierge qui s' appelait histoires vécues	当我还只有六岁的时候在一本描写原始森林的名叫真实的故事的书中看到了一幅精彩的插画	0.11319999999999908	8.339100000000002	3.05	11.79	0.0	7.467275257378072	1	1	1	1	1	1
2	1	2	1-1-1	it showed a boa constrictor swallowing a wild animal	ça représentait un serpent boa qui avalait un fauve	画的是一条蟒蛇正在吞食一只大野兽	9.247	12.4161	12.64	16.13	8.02146517665584	11.299396855032589	2	2	2	2	2	2
3	1	3	1-1-1	here is a copy of the drawing	voilà la copie du dessin	页头上就是那幅画的摹本	13.144400000000005	14.463700000000003	16.72	18.2	12.105179138322036	14.069234462748343	3	3	3	3	3	3
4	1	4	1-1-2	it said in the book boa constrictors swallow their prey whole without chewing then they are not able to move and they sleep for the six months it takes for digestion	on disait dans le livre les serpents boas avalent leur proie tout entière sans la mâcher ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion	这本书中写道这些蟒蛇把它们的猎获物不加咀嚼地囫囵吞下尔后就不能再动弹了 它们就在长长的六个月的睡眠中消化这些食物	15.860399999999998	26.339100000000002	19.47	30.38	14.977179138322036	26.217179138322038	4	4	4	4	4	5
5	1	5	1-1-2	so i thought a lot about the adventures of the jungle and in turn i managed with a coloured pencil to make my first drawing my drawing number one	j' ai alors beaucoup réfléchi sur les aventures de la jungle et à mon tour j' ai réussi avec un crayon de couleur à tracer mon premier dessin mon dessin numéro 1	当时我对丛林中的奇遇想得很多 于是我也用彩色铅笔画出了我的第一幅图画	27.2919	36.647400000000005	32.19516133717173	44.19	27.265179138322036	34.12539170613916	5	5	5	5	6	7
6	1	6	1-1-1	it looked like this	il était comme ça	我的第一号作品它是这样的	37.186099999999996	38.325599999999994	44.92	45.95	34.633179138322035	37.378477555314156	6	6	6	6	8	8
7	1	7	1-1-2	i showed my masterpiece to the grownups and i asked them if my drawing frightened them	j' ai montré mon chef -d' oeuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur	我把我的这幅杰作拿给大人看 我问他们我的画是不是叫他们害怕	39.607600000000005	44.01090000000001	47.49	52.92	38.72599413985942	44.00117913832204	7	7	7	7	9	10
8	1	8	1-1-1	they answered me why would anyone be frightened by a hat	elles m' ont répondu pourquoi un chapeau ferait -il peur	他们回答我说害怕一顶帽子有什么可怕的	44.39	48.0924	54.32	57.75	44.889179138322035	49.59662192684309	8	8	8	8	11	11
9	1	9	2-2-1	my drawing was not of a hat it showed a boa constrictor digesting an elephant	mon dessin ne représentait pas un chapeau il représentait un serpent boa qui digérait un éléphant	我画的不是帽子是一条巨蟒在消化着一头大象	49.1301	54.2321	58.82	64.58	50.545179138322034	54.39317913832203	9	10	9	10	12	12
10	1	10	1-1-1	i then drew the inside of the boa constrictor so that the grownups could understand	j' ai alors dessiné l' intérieur du serpent boa afin que les grandes personnes puissent comprendre	既然大人们不能够理解于是我又把巨蟒肚子里的情况画了出来以便让大人们能够看懂	55.0851	60.092699999999994	65.53	70.52	55.22822307581113	61.97345666213874	11	11	11	11	13	13
11	1	11	1-1-1	they always need to have things explained	elles ont toujours besoin d' explications	这些大人总是需要解释	60.611599999999996	62.6759	71.14	73.6	62.698458542837734	64.53263994759841	12	12	12	12	14	14
12	1	12	1-1-1	my drawing number two looked like this	mon dessin numéro 2 était comme ça	我的第二号作品是这样的	63.5938	65.973	74.43	76.69	65.65717913832204	67.55659340812848	13	13	13	13	15	15
13	1	13	1-1-1	the grownups advised me to leave aside drawings of boa constrictors open or closed and to apply myself instead to geography history arithmetic and grammar	les grandes personnes m' ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés et de m' intéresser plutôt à la géographie à l' histoire au calcul et à la grammaire	大人们劝我把这些画着开着肚皮的或闭上肚皮的蟒蛇的图画放在一边还是把兴趣放在地理历史算术语法上	67.1403	77.39099999999999	78.11	89.55	68.74517913832204	77.9068488793526	14	14	14	14	16	16
14	1	14	1-1-1	thus i abandoned at the age of six a magnificent career as a painter	c' est ainsi que j' ai abandonné à l' âge de six ans une magnifique carrière de peintre	就这样在六岁的那年我就放弃了当画家这一美好的职业	78.25399999999999	83.17250000000001	90.52	96.07	78.76090868645875	83.62517913832204	15	15	15	15	17	17
15	1	15	1-1-1	i was discouraged by the failure of my drawing number one and of my drawing number two	j' avais été découragé par l' insuccès de mon dessin numéro 1 et de mon dessin numéro 2	我的第一号第二号作品的不成功使我泄了气	83.71619999999999	88.6104	96.74	102.55	84.36117913832204	87.82021356957293	16	16	16	16	18	18
16	1	16	1-1-1	grownups never understand anything by themselves and it s tiresome for children to always explain things for them again and again	les grandes personnes ne comprennent jamais rien toutes seules et c' est fatigant pour les enfants de toujours et toujours leur donner des explications	这些大人们靠他们自己什么也弄不懂还得老是不断地给他们做解释	89.05439999999999	96.9118	103.58	112.06	88.64117913832204	93.93329291749245	17	17	17	17	19	19
17	1	17	1-1-2	so i had to choose another profession and i learned to fly airplanes	j' ai donc dû choisir un autre métier et j' ai appris à piloter des avions	后来我只好选择了另外一个职业 我学会了开飞机	97.46539999999999	101.37389999999999	113.17	117.31	95.0504129950889	99.45717913832205	18	18	18	18	20	21
18	1	18	1-1-2	i flew a little in many places around the world and geography it s TRUE has served me well	j' ai volé un peu partout dans le monde et la géographie c' est exact m' a beaucoup servi	世界各地差不多都飞到过 的确地理学帮了我很大的忙	102.26679999999999	107.53049999999999	118.31	123.72	100.07406068352688	104.77717913832204	19	19	19	19	22	23
19	1	19	1-1-1	i could recognize at first glance china from arizona	je savais reconnaître du premier coup d' oeil la chine de l' arizona	我一眼就能分辨出中国和亚利桑那	108.174	111.5683	124.32	128.44	105.34517913832204	107.69717913832204	20	20	20	20	24	24
20	1	20	1-1-1	it s very useful if you get lost at night	c' est très utile si l' on s' est égaré pendant la nuit	要是夜里迷失了航向这是很有用的	111.89250000000001	114.05699999999999	128.98	131.72	108.40917913832205	110.70066981179295	21	21	21	21	25	25
21	1	21	1-1-1	i have had during my life a lot of contact with many persons of consequence	j' ai ainsi eu au cours de ma vie des tas de contacts avec des tas de gens sérieux	这样在我的生活中我跟许多严肃的人有过很多的接触	114.72540000000001	119.73320000000001	132.87	137.95	111.57698374464331	115.83317913832204	22	22	22	22	26	26
22	1	22	1-1-1	i have lived a lot amongst the grownups	j' ai beaucoup vécu chez les grandes personnes	我在大人们中间生活过很长时间	120.1523	122.8063	138.45	140.81	116.44966935529092	118.51317913832204	23	23	23	23	27	27
